2026-09-13T03:26:24.229054+00:00	RUN	now recording run_id=E_duration_rep2 -> C:\r3\data\subscriber_E_duration_rep2.csv
2026-09-13T04:08:28.093975+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:32.281868+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:36.454131+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:40.767406+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:44.970911+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:08:49.143579+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:53.300227+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:57.488526+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:01.660800+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:05.832559+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:10.005229+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:14.193116+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:18.349770+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:22.522444+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:26.694688+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:30.882981+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:35.055236+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:39.211869+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:43.400174+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:47.572441+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:51.745111+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:09:55.932982+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:00.105257+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:04.277928+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:08.450189+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:12.622449+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:16.888461+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:21.170092+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:10:25.327154+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:10:30.609185+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:36.875584+00:00	SAMPLE_GAP	5.3s between samples
2026-09-13T04:10:41.063486+00:00	SAMPLE_GAP	6.3s between samples
2026-09-13T04:10:45.220123+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:49.392808+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:53.565080+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:10:57.737224+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:01.925112+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:06.097361+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:10.316906+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:14.504810+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:18.677503+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:22.834135+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:27.006390+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:31.210308+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:35.398180+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:39.554820+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:43.727503+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:47.899753+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:52.072428+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:11:56.244692+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:00.416952+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:04.589605+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:08.761855+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:12.918515+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:17.106383+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:21.263023+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:25.435692+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:29.607960+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:33.765016+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:37.952892+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:42.125151+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:46.297819+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:50.485286+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:54.657950+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:12:58.814588+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:03.002464+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:07.159512+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:11.331782+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:15.488420+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:19.661092+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:23.833333+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:27.990370+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:32.365768+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:36.538023+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:13:40.710693+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:44.867349+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:49.055622+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:53.212247+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:13:57.415761+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:01.572822+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:05.745067+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:10.105234+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:14.277499+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:14:18.449766+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:22.622434+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:33.299271+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:37.753225+00:00	SAMPLE_GAP	10.7s between samples
2026-09-13T04:14:41.925472+00:00	SAMPLE_GAP	4.5s between samples
2026-09-13T04:14:46.098131+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:50.270390+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:54.458275+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:14:58.615313+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:02.803188+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:06.975853+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:11.148117+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:15.304752+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:19.493842+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:23.650490+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:15:23.666098+00:00	LEVEL	E04 -> E05 (state=reset)
2026-09-13T04:15:23.666098+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:25:00.828792+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:25:30.860678+00:00	SAMPLE_GAP	3.9s between samples
2026-09-13T04:26:00.907304+00:00	SAMPLE_GAP	3.9s between samples
2026-09-13T04:27:08.572264+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:27:13.698058+00:00	SAMPLE_GAP	37.3s between samples
2026-09-13T04:27:35.841024+00:00	SAMPLE_GAP	5.1s between samples
2026-09-13T04:27:39.982037+00:00	SAMPLE_GAP	22.1s between samples
2026-09-13T04:27:44.154705+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:27:48.326977+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:27:52.515283+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:27:56.718802+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:00.875462+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:05.048150+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:09.220406+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:13.377485+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:17.565382+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:21.768915+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:25.957231+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:30.145121+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:34.317303+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:38.598952+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:42.771203+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:28:46.959528+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:51.116161+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:55.288843+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:28:59.476739+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:03.664640+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:07.837320+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:12.025214+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:16.401041+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:20.573293+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:29:24.745572+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:28.918246+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:33.090514+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:37.263207+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:41.435473+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:45.607736+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:49.764291+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:53.936573+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:29:58.108827+00:00	SAMPLE_GAP	4.2s between samples
