family,run_id,repeat,region,level_id,label,order_index,clients,rows_per_commit,row_bytes,target_wal_mbps,rtt_ms,duration_sec,n_samples,lag_median_ms,lag_p95_ms,lag_mean_ms,lag_p05_ms,lag_max_ms,write_lag_median_ms,flush_lag_median_ms,lag_bytes_median,lag_bytes_p95,wal_mbps_mean,wal_mbps_sd,wal_mbps_level,commits_per_sec,rows_per_sec,wal_bytes_delta,xact_commit_delta,tup_inserted_delta,wal_bytes_per_row,manifest_measured_wal_mbps,loadgen_commits,loadgen_rows,loadgen_commits_per_sec,loadgen_rows_per_sec,sql_errors,setpoint_error_pct,exceeded_capacity,pre_drained,post_drained,pre_start_backlog,post_drain_sec,lag_growth_bytes_per_sec,peak_lag_bytes,pub_cpu_mean,load_seconds,lag_median_first60_ms,lag_median_third1_ms,lag_median_third2_ms,lag_median_third3_ms,sub_rows_applied_per_sec,sub_commits_per_sec,sub_cpu_mean,sub_disk_write_mbps
B_concurrency,B_concurrency_rep3,3,centralus,B01,"1 clients @ 8 MB/s (sub-saturation, full sweep)",2,1,10,1000,8,0.0,360,299,16.154000000000003,17.070399999999996,14.961779264214048,8.7393,49.413,16.154000000000003,16.87,54400.0,1099497.5999999999,8.011692516493843,0.6718286426960365,8.46760411360264,560.9667716769509,5579.3069248046395,3038329149,201285,2001956,1517.6802831830469,8.053,200557,2005570,556.74,5567.41,0,0.7,False,True,True,0,10.0,528.4,1169280,1.9214046822742474,360.5,15.797999999999998,15.925,16.2,16.319,5518.488334422244,554.0877004887415,2.24247491638796,16.445607433637484
B_concurrency,B_concurrency_rep3,3,centralus,B02,"4 clients @ 8 MB/s (sub-saturation, full sweep)",4,4,10,1000,8,0.0,360,301,16.055,16.747,15.094013289036548,8.736,17.330000000000002,16.055,16.514,87736.0,1146672.0,8.013558409597014,0.5330700843904126,8.406821212227797,556.6504779624188,5535.8470168583635,3028431467,200525,1994206,1518.6151616232225,8.013,199390,1993900,553.48,5534.77,0,0.2,False,True,True,19632,10.0,153.6,1212688,1.061794019933555,360.4,15.573,15.883999999999999,16.194499999999998,16.17,5510.689085945179,553.3080691737666,2.0615384615384613,14.318482940034162
B_concurrency,B_concurrency_rep3,3,centralus,B03,"8 clients @ 8 MB/s (sub-saturation, full sweep)",6,8,10,1000,8,0.0,360,300,16.149,17.117150000000002,15.519946666666668,11.20255,18.485000000000003,16.149,16.477,90180.0,1143506.4,7.987626016450781,0.5450095497698463,8.399016809078335,556.3050973819619,5532.638522318781,3016884700,199822,1987296,1518.0852273642174,7.999,199173,1991730,552.73,5527.3,0,-0.0,False,True,True,21032,10.0,-4103.0,1216328,1.4386666666666668,360.5,15.7665,16.1295,16.140500000000003,16.173000000000002,5503.099011234997,552.5487948169015,2.0187290969899667,14.604341596428888
B_concurrency,B_concurrency_rep3,3,centralus,B04,"16 clients @ 8 MB/s (sub-saturation, full sweep)",3,16,10,1000,8,0.0,360,301,16.178,17.488,15.349262458471763,8.859,19.042,16.178,16.843,62256.0,1148024.0,8.243432978042158,6.048096190447398,8.586560400501757,547.9295810567062,5448.385325144189,3092891043,197365,1962516,1575.982587148334,8.188,196598,1965980,545.3,5453.01,0,2.4,False,True,True,56,10.0,-881.3,1559336,2.9614617940199333,360.9,15.952999999999998,16.089,16.0205,16.4465,5428.602504045358,545.1034800926088,2.0426174496644296,17.679054393379037
B_concurrency,B_concurrency_rep3,3,centralus,B05,"32 clients @ 8 MB/s (sub-saturation, full sweep)",5,32,10,1000,8,0.0,360,300,16.407999999999998,17.8392,15.680166666666667,9.575250000000002,19.058,16.407999999999998,16.897500000000004,58364.0,1139734.4000000001,8.227784066374292,5.747712439186116,8.61484438012682,550.0985218813964,5469.821618063239,3094461669,197596,1964766,1574.9772079728577,8.198,196956,1969560,546.22,5462.23,0,2.5,False,True,True,0,10.0,631.4,1232096,6.521666666666666,360.9,16.0195,16.326,16.333,16.7095,5434.532989217547,545.6866325093954,2.045302013422819,18.15036917895982
B_concurrency,B_concurrency_rep3,3,centralus,B06,"64 clients @ 8 MB/s (sub-saturation, full sweep)",8,64,10,1000,8,0.0,360,302,16.6305,18.2961,15.983473509933775,10.2581,20.189,16.630499999999998,17.203,70304.0,1145053.6,7.991672060930323,0.49199436523833734,8.344694032050343,553.1177607534231,5498.887489609167,3014312658,199800,1986336,1517.5240533323667,7.93,198603,1986030,548.86,5488.64,0,-0.9,False,True,True,0,10.0,113.8,1230776,11.918874172185431,362.5,16.048,16.455000000000002,16.483999999999998,16.832,5470.867538760365,549.3234242258477,2.059271523178808,16.218611498663826
B_concurrency,B_concurrency_rep3,3,centralus,B07,8 clients @ 30 MB/s (near the apply knee),9,8,10,1000,30,0.0,240,180,16.107999999999997,17.9026,14.403155555555557,5.164400000000001,22.366,16.107999999999997,17.8535,852976.0,1472704.3999999997,34.78245783586103,78.38459356702882,35.4013797012567,2034.168445925554,20311.352993486747,8470009806,486688,4859623,1742.9355746320239,33.636,486837,4868370,2025.85,20258.45,0,12.1,False,True,True,0,10.0,-2744.4,2055176,8.092222222222222,240.5,15.606,15.5375,16.299500000000002,16.332,20043.406540094573,2006.5985176499628,6.992178770949722,69.31107438903607
B_concurrency,B_concurrency_rep3,3,centralus,B08,16 clients @ 30 MB/s (near the apply knee),7,16,10,1000,30,0.0,240,181,16.531,22.83,16.672541436464087,2.989,25.520999999999997,16.531,21.803,454456.0,1547184.0,32.825719944540445,50.07747633896736,33.7798668619903,2033.224889656141,20301.091439162123,8117153462,488575,4878263,1663.943387636132,32.152,487811,4878110,2028.32,20283.2,0,7.2,False,True,True,6216,10.0,-2453.2,4478792,10.939226519337016,240.8,17.11,16.915,16.4565,16.4775,19980.56758902577,2000.2939868659557,7.279444444444445,73.9308147027465
B_concurrency,B_concurrency_rep3,3,centralus,B09,32 clients @ 30 MB/s (near the apply knee),10,32,10,1000,30,0.0,240,180,17.4825,23.94615,16.614705555555556,1.4107,34.088,17.482499999999998,21.741,1048988.0,1555586.3999999994,34.39037089719948,72.87584414912632,35.055125339410246,2031.0541761457876,20279.29991677013,8389618948,486085,4853373,1728.6161496344914,33.32,487315,4873150,2024.68,20246.84,0,11.1,False,True,True,22912,10.0,323.6,2026224,14.912777777777773,241.0,18.637,20.3945,16.381999999999998,17.191000000000003,19985.561815839697,2000.784515558543,7.6446927374301685,74.30675283282959
B_concurrency,B_concurrency_rep3,3,centralus,B10,64 clients @ 30 MB/s (near the apply knee),1,64,10,1000,30,0.0,240,182,18.5395,43.190099999999916,18.826175824175827,1.5472500000000011,67.872,18.5395,23.065500000000004,385224.0,1869376.7999999998,35.20746050191074,85.35388211479506,35.441279279154074,2011.1028367138392,20077.816240233296,8554022918,485395,4845934,1765.1959184751588,33.694,484573,4845730,2005.35,20053.51,0,12.3,False,True,True,0,10.0,-7776.6,2099472,19.2478021978022,242.1,18.398,21.421,15.863999999999999,19.335500000000003,19767.055932728545,1978.939611810198,7.162841530054646,76.01705157156661
